Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
4/27/2021,Jawa Timur,Jawa Timur,0.18,0
4/28/2021,Jawa Timur,Jawa Timur,0.18,0
4/29/2021,Jawa Timur,Jawa Timur,0.18,0
4/30/2021,Jawa Timur,Jawa Timur,0.18,0
5/1/2021,Jawa Timur,Jawa Timur,0.18,0
5/2/2021,Jawa Timur,Jawa Timur,0.18,0
5/3/2021,Jawa Timur,Jawa Timur,0.18,0
5/4/2021,Jawa Timur,Jawa Timur,0.18,0
5/5/2021,Jawa Timur,Jawa Timur,0.181,0.001
5/6/2021,Jawa Timur,Jawa Timur,0.181,0
5/7/2021,Jawa Timur,Jawa Timur,0.182,0.001
5/8/2021,Jawa Timur,Jawa Timur,0.182,0
5/9/2021,Jawa Timur,Jawa Timur,0.182,0
5/10/2021,Jawa Timur,Jawa Timur,0.184,0.002
5/11/2021,Jawa Timur,Jawa Timur,0.185,0.001
5/12/2021,Jawa Timur,Jawa Timur,0.185,0
5/13/2021,Jawa Timur,Jawa Timur,0.185,0
5/14/2021,Jawa Timur,Jawa Timur,0.185,0
5/15/2021,Jawa Timur,Jawa Timur,0.185,0
5/16/2021,Jawa Timur,Jawa Timur,0.185,0
5/17/2021,Jawa Timur,Jawa Timur,0.185,0
5/18/2021,Jawa Timur,Jawa Timur,0.186,0.001
5/19/2021,Jawa Timur,Jawa Timur,0.187,0.001
5/20/2021,Jawa Timur,Jawa Timur,0.187,0
5/21/2021,Jawa Timur,Jawa Timur,0.188,0.001
5/22/2021,Jawa Timur,Jawa Timur,0.188,0
5/23/2021,Jawa Timur,Jawa Timur,0.188,0
5/24/2021,Jawa Timur,Jawa Timur,0.188,0
5/25/2021,Jawa Timur,Jawa Timur,0.188,0
5/26/2021,Jawa Timur,Jawa Timur,0.188,0
5/27/2021,Jawa Timur,Jawa Timur,0.188,0
5/28/2021,Jawa Timur,Jawa Timur,0.188,0
5/29/2021,Jawa Timur,Jawa Timur,0.188,0
5/30/2021,Jawa Timur,Jawa Timur,0.188,0
5/31/2021,Jawa Timur,Jawa Timur,0.188,0
6/1/2021,Jawa Timur,Jawa Timur,0.188,0
6/2/2021,Jawa Timur,Jawa Timur,0.188,0
6/3/2021,Jawa Timur,Jawa Timur,0.188,0
6/4/2021,Jawa Timur,Jawa Timur,0.188,0
6/5/2021,Jawa Timur,Jawa Timur,0.189,0.001
6/6/2021,Jawa Timur,Jawa Timur,0.189,0
6/7/2021,Jawa Timur,Jawa Timur,0.191,0.002
6/8/2021,Jawa Timur,Jawa Timur,0.191,0
6/9/2021,Jawa Timur,Jawa Timur,0.192,0.001
6/10/2021,Jawa Timur,Jawa Timur,0.192,0
6/11/2021,Jawa Timur,Jawa Timur,0.193,0.001
6/12/2021,Jawa Timur,Jawa Timur,0.193,0
6/13/2021,Jawa Timur,Jawa Timur,0.193,0
6/14/2021,Jawa Timur,Jawa Timur,0.194,0.001
6/15/2021,Jawa Timur,Jawa Timur,0.194,0
6/16/2021,Jawa Timur,Jawa Timur,0.194,0
6/17/2021,Jawa Timur,Jawa Timur,0.194,0
6/18/2021,Jawa Timur,Jawa Timur,0.195,0.001
6/19/2021,Jawa Timur,Jawa Timur,0.195,0
6/20/2021,Jawa Timur,Jawa Timur,0.195,0
6/21/2021,Jawa Timur,Jawa Timur,0.196,0.001
6/22/2021,Jawa Timur,Jawa Timur,0.197,0.001
6/23/2021,Jawa Timur,Jawa Timur,0.197,0
6/24/2021,Jawa Timur,Jawa Timur,0.197,0
6/25/2021,Jawa Timur,Jawa Timur,0.199,0.002
6/26/2021,Jawa Timur,Jawa Timur,0.2,0.001
6/27/2021,Jawa Timur,Jawa Timur,0.2,0
6/28/2021,Jawa Timur,Jawa Timur,0.2,0
6/29/2021,Jawa Timur,Jawa Timur,0.2,0
6/30/2021,Jawa Timur,Jawa Timur,0.202,0.002
7/1/2021,Jawa Timur,Jawa Timur,0.202,0
7/2/2021,Jawa Timur,Jawa Timur,0.202,0
7/3/2021,Jawa Timur,Jawa Timur,0.202,0
7/4/2021,Jawa Timur,Jawa Timur,0.202,0
7/5/2021,Jawa Timur,Jawa Timur,0.205,0.003
7/6/2021,Jawa Timur,Jawa Timur,0.206,0.001
7/7/2021,Jawa Timur,Jawa Timur,0.207,0.001
7/8/2021,Jawa Timur,Jawa Timur,0.21,0.003
7/9/2021,Jawa Timur,Jawa Timur,0.211,0.001
7/10/2021,Jawa Timur,Jawa Timur,0.211,0
7/11/2021,Jawa Timur,Jawa Timur,0.212,0.001
7/12/2021,Jawa Timur,Jawa Timur,0.212,0
7/13/2021,Jawa Timur,Jawa Timur,0.212,0
7/14/2021,Jawa Timur,Jawa Timur,0.213,0.001
7/15/2021,Jawa Timur,Jawa Timur,0.213,0
7/16/2021,Jawa Timur,Jawa Timur,0.438,0.225
7/17/2021,Jawa Timur,Jawa Timur,0.587,0.149
