Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
4/6/2022,Jawa Timur,Jawa Timur,3522.635,56.037
4/7/2022,Jawa Timur,Jawa Timur,3594.485,71.85
4/8/2022,Jawa Timur,Jawa Timur,3666.919,72.434
4/9/2022,Jawa Timur,Jawa Timur,3741.341,74.422
4/10/2022,Jawa Timur,Jawa Timur,3758.628,17.287
4/11/2022,Jawa Timur,Jawa Timur,3830.465,71.837
4/12/2022,Jawa Timur,Jawa Timur,3915.075,84.61
4/13/2022,Jawa Timur,Jawa Timur,4010.383,95.308
4/14/2022,Jawa Timur,Jawa Timur,4129.412,119.029
4/15/2022,Jawa Timur,Jawa Timur,4186.351,56.939
4/16/2022,Jawa Timur,Jawa Timur,4281.464,95.113
4/17/2022,Jawa Timur,Jawa Timur,4326.893,45.429
4/18/2022,Jawa Timur,Jawa Timur,4430.662,103.769
4/19/2022,Jawa Timur,Jawa Timur,4533.452,102.79
4/20/2022,Jawa Timur,Jawa Timur,4631.893,98.441
4/21/2022,Jawa Timur,Jawa Timur,4741.377,109.484
4/22/2022,Jawa Timur,Jawa Timur,4829.022,87.645
4/23/2022,Jawa Timur,Jawa Timur,4911.685,82.663
4/24/2022,Jawa Timur,Jawa Timur,4936.427,24.742
4/25/2022,Jawa Timur,Jawa Timur,5006.791,70.364
4/26/2022,Jawa Timur,Jawa Timur,5075.072,68.281
4/27/2022,Jawa Timur,Jawa Timur,5143.814,68.742
4/28/2022,Jawa Timur,Jawa Timur,5205.437,61.623
4/29/2022,Jawa Timur,Jawa Timur,5237.986,32.549
4/30/2022,Jawa Timur,Jawa Timur,5263.921,25.935
5/1/2022,Jawa Timur,Jawa Timur,5269.018,5.097
5/2/2022,Jawa Timur,Jawa Timur,5270.535,1.517
5/3/2022,Jawa Timur,Jawa Timur,5274.102,3.567
5/4/2022,Jawa Timur,Jawa Timur,5279.43,5.328
5/5/2022,Jawa Timur,Jawa Timur,5287.69,8.26
5/6/2022,Jawa Timur,Jawa Timur,5294.84,7.15
5/7/2022,Jawa Timur,Jawa Timur,5304.905,10.065
5/8/2022,Jawa Timur,Jawa Timur,5309.454,4.549
5/9/2022,Jawa Timur,Jawa Timur,5330.432,20.978
5/10/2022,Jawa Timur,Jawa Timur,5358.886,28.454
5/11/2022,Jawa Timur,Jawa Timur,5393.007,34.121
5/12/2022,Jawa Timur,Jawa Timur,5430.444,37.437
5/13/2022,Jawa Timur,Jawa Timur,5462.314,31.87
5/14/2022,Jawa Timur,Jawa Timur,5492.065,29.751
5/15/2022,Jawa Timur,Jawa Timur,5498.092,6.027
5/16/2022,Jawa Timur,Jawa Timur,5504.349,6.257
5/17/2022,Jawa Timur,Jawa Timur,5541.303,36.954
5/18/2022,Jawa Timur,Jawa Timur,5581.485,40.182
5/19/2022,Jawa Timur,Jawa Timur,5625.901,44.416
5/20/2022,Jawa Timur,Jawa Timur,5656.333,30.432
5/21/2022,Jawa Timur,Jawa Timur,5684.172,27.839
5/22/2022,Jawa Timur,Jawa Timur,5691.866,7.694000000
5/23/2022,Jawa Timur,Jawa Timur,5722.94,31.074
5/24/2022,Jawa Timur,Jawa Timur,5756.418,33.478
5/25/2022,Jawa Timur,Jawa Timur,5792.962,36.544
5/26/2022,Jawa Timur,Jawa Timur,5798.522,5.56
5/27/2022,Jawa Timur,Jawa Timur,5820.789,22.267
5/28/2022,Jawa Timur,Jawa Timur,5838.426,17.637
5/29/2022,Jawa Timur,Jawa Timur,5843.018,4.592000000
5/30/2022,Jawa Timur,Jawa Timur,5869.509,26.491
5/31/2022,Jawa Timur,Jawa Timur,5900.453,30.944
6/1/2022,Jawa Timur,Jawa Timur,5903.922,3.469
6/2/2022,Jawa Timur,Jawa Timur,5920.641,16.719
6/3/2022,Jawa Timur,Jawa Timur,5922.987,2.346
