,Tanggal,Konfirmasi,Aktif,Sembuh,Meninggal,Case Recovery Rate,Case Fatality Rate,Bergejala,Tanpa Gejala,Perjalanan,Kontak,Tanpa Riwayat Perjalanan,Meninggal karena COVID-19,Meninggal karena penyakit lain (Positif COVID-19),RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Suspek,Probabel,Diisolasi,Discarded,Meninggal,RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Kontak Dilacak,Kontak Erat,Kontak Konfirmasi,Kontak Suspek,Kontak Discarded,Kontak Mangkir,Jumlah specimen/swab,Rapid,Reaktif,Reaktif periksa RT-PCR,Reaktif periksa RT-PCR(+)
0,01/01/2022,400081,98,370237,29746,92.54,7.43,211597,188484,23135,84690,292256,26035,3711,60,3,3,20,10623,908,5954,93793,3320,518,0,0,125,382651,1841722,66724,10637,1605118,91,3266360,3272218,200341,252175,88791
1,02/01/2022,400089,98,370245,29746,92.54,7.43,211599,188490,23136,90613,286340,26035,3711,48,2,2,26,10619,908,5949,92725,3320,517,0,0,121,382684,1841945,66724,10637,1605394,91,3268236,3274387,200341,252184,88791
2,03/01/2022,400089,98,370245,29746,92.54,7.43,211599,188490,23136,90613,286340,26035,3711,48,2,2,26,10619,908,5949,92725,3320,517,0,0,121,382684,1841945,66724,10637,1605394,91,3268236,3274387,200341,252184,88791
3,04/01/2022,400089,98,370245,29746,92.54,7.43,211599,188490,23136,90613,286340,26035,3711,48,2,2,26,10619,908,5949,92725,3320,517,0,0,121,382684,1841945,66724,10637,1605394,91,3268236,3274387,200341,252184,88791
4,05/01/2022,400089,98,370245,29746,92.54,7.43,211599,188490,23136,90613,286340,26035,3711,48,2,2,26,10619,908,5949,92725,3320,517,0,0,121,382684,1841945,66724,10637,1605394,91,3268236,3274387,200341,252184,88791
5,06/01/2022,400153,96,370309,29748,92.54,7.43,211627,188526,23152,90621,286380,26037,3711,55,2,2,17,10625,908,5949,92905,3320,514,0,0,126,382723,1844848,66726,10637,1607461,91,3280616,3335514,200352,252226,88793
6,07/01/2022,400168,94,370325,29749,92.54,7.43,211658,188510,23156,90626,286386,26038,3711,50,4,4,20,10626,908,5950,94034,3320,188,0,0,125,382731,1845520,66728,10637,1607639,91,3256696,3339676,200353,252228,88793
7,08/01/2022,400197,104,370341,29752,92.54,7.43,211638,188559,23158,90626,286413,26041,3711,50,2,2,23,10624,908,5948,94076,3320,514,0,0,125,382752,1846100,66728,10637,1608020,91,3290489,3343047,200354,252220,88798
8,09/01/2022,400213,98,370362,29753,92.54,7.43,211642,188571,23159,90626,286428,26042,3711,41,3,3,19,10625,908,5949,93040,2390,515,0,0,125,382765,1857302,66728,10640,1608572,91,3215928,3087011,190929,242708,82987
9,10/01/2022,400221,98,370369,29754,92.54,7.43,211645,188576,23160,90404,286657,26042,3712,42,3,3,21,10626,908,5950,94129,2390,517,0,0,125,382776,1847065,66728,10645,1609076,91,3296827,3399717,200362,252113,88805
10,11/01/2022,400250,115,370380,29755,92.54,7.43,211660,188590,23162,84482,292606,26043,3712,50,3,3,20,10645,908,5962,94181,2390,518,0,0,125,382789,1848237,66728,10645,1609662,91,3301049,3403593,200362,252235,88810
11,12/01/2022,400268,121,370390,29757,92.54,7.43,211670,188598,23163,90411,286694,26044,3713,56,3,3,20,10639,908,5959,94211,2390,517,0,0,124,382803,1849373,66729,10645,1611451,91,3306692,3463994,200370,252315,88810
12,13/01/2022,400291,132,370402,29757,92.53,7.43,213340,186951,23167,90414,286710,26044,3713,63,2,2,24,10639,908,5959,94244,2390,514,0,0,125,382861,1849781,66732,10645,1611566,91,3309950,3540630,200375,252534,88811
13,14/01/2022,400312,134,370420,29758,92.53,7.43,213349,186963,23169,90419,286724,26045,3713,68,0,0,22,10634,908,5960,94290,2390,516,0,0,127,382874,1851222,66732,10645,1611030,91,3012120,3475462,190388,252817,86412
14,15/01/2022,400335,137,370440,29758,92.53,7.43,213353,186982,23170,90420,286745,26045,3713,63,0,0,26,10627,908,5954,94335,2390,516,0,0,124,382886,1851671,66733,10646,1611413,91,3334002,3479990,190392,252719,86414
